store_id,item_id,category,product_name,date,qty_sold,price,on_promo,discount_pct,holiday_flag,festival_flag,unit_cost,supplier_lead_time_days,ordering_cost,holding_cost_rate
S001,P001,Grocery,Rice 5kg,2021-12-27,46,250.0,0,0.0,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-01-03,131,248.21428571428572,1,0.0071428571428571435,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-01-10,144,242.85714285714286,1,0.028571428571428574,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-01-17,160,242.85714285714286,1,0.028571428571428574,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-01-24,151,250.0,0,0.0,1,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-01-31,156,244.64285714285714,1,0.02142857142857143,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-02-07,162,241.07142857142858,1,0.03571428571428571,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-02-14,168,246.42857142857142,1,0.014285714285714287,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-02-21,150,242.85714285714286,1,0.028571428571428574,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-02-28,187,248.21428571428572,1,0.0071428571428571435,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-03-07,187,250.0,0,0.0,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-03-14,180,241.07142857142858,1,0.03571428571428571,1,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-03-21,171,248.21428571428572,1,0.0071428571428571435,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-03-28,207,250.0,0,0.0,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-04-04,206,250.0,0,0.0,0,0,180,7,500,0.2
S001,P001,Grocery,Rice 5kg,2022-04-11,226,250.0,0,0.0,1,0,180,7,500,0.2
